"group"	"gene"
"Wnt signaling pathway"	"100506332"
"Wnt signaling pathway"	"10297"
"Wnt signaling pathway"	"10725"
"Wnt signaling pathway"	"11197"
"Wnt signaling pathway"	"11211"
"Wnt signaling pathway"	"11261"
"Wnt signaling pathway"	"122011"
"Wnt signaling pathway"	"1387"
"Wnt signaling pathway"	"144165"
"Wnt signaling pathway"	"1452"
"Wnt signaling pathway"	"1454"
"Wnt signaling pathway"	"1457"
"Wnt signaling pathway"	"1459"
"Wnt signaling pathway"	"1460"
"Wnt signaling pathway"	"1487"
"Wnt signaling pathway"	"1488"
"Wnt signaling pathway"	"1499"
"Wnt signaling pathway"	"166336"
"Wnt signaling pathway"	"1855"
"Wnt signaling pathway"	"1856"
"Wnt signaling pathway"	"1857"
"Wnt signaling pathway"	"2033"
"Wnt signaling pathway"	"22943"
"Wnt signaling pathway"	"23002"
"Wnt signaling pathway"	"23236"
"Wnt signaling pathway"	"23291"
"Wnt signaling pathway"	"23401"
"Wnt signaling pathway"	"23500"
"Wnt signaling pathway"	"2535"
"Wnt signaling pathway"	"27101"
"Wnt signaling pathway"	"27121"
"Wnt signaling pathway"	"27123"
"Wnt signaling pathway"	"2932"
"Wnt signaling pathway"	"324"
"Wnt signaling pathway"	"387"
"Wnt signaling pathway"	"4040"
"Wnt signaling pathway"	"4041"
"Wnt signaling pathway"	"4087"
"Wnt signaling pathway"	"4088"
"Wnt signaling pathway"	"4089"
"Wnt signaling pathway"	"4773"
"Wnt signaling pathway"	"4775"
"Wnt signaling pathway"	"4776"
"Wnt signaling pathway"	"51176"
"Wnt signaling pathway"	"51384"
"Wnt signaling pathway"	"51701"
"Wnt signaling pathway"	"5330"
"Wnt signaling pathway"	"5331"
"Wnt signaling pathway"	"5332"
"Wnt signaling pathway"	"54361"
"Wnt signaling pathway"	"5515"
"Wnt signaling pathway"	"5516"
"Wnt signaling pathway"	"5518"
"Wnt signaling pathway"	"5519"
"Wnt signaling pathway"	"5525"
"Wnt signaling pathway"	"5526"
"Wnt signaling pathway"	"5527"
"Wnt signaling pathway"	"5528"
"Wnt signaling pathway"	"5529"
"Wnt signaling pathway"	"5532"
"Wnt signaling pathway"	"5533"
"Wnt signaling pathway"	"5534"
"Wnt signaling pathway"	"5535"
"Wnt signaling pathway"	"5566"
"Wnt signaling pathway"	"5567"
"Wnt signaling pathway"	"5568"
"Wnt signaling pathway"	"5579"
